City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Alyangula,AU,2022-08-25 00:18:14,-13.8483,136.4192,71.26,49,57,17.81,broken clouds
212,Matay,EG,2022-08-25 00:16:14,28.419,30.7792,84.29,42,0,12.17,clear sky
213,Hambantota,LK,2022-08-25 00:16:22,6.1241,81.1185,78.21,81,74,18.61,broken clouds
214,Qandala,SO,2022-08-25 00:17:22,11.472,49.8728,86.85,55,5,2.86,clear sky
215,Olafsvik,IS,2022-08-25 00:18:16,64.8945,-23.7142,48.85,86,93,10.78,overcast clouds
216,Kristiansund,NO,2022-08-25 00:18:16,63.1115,7.732,70.45,52,75,8.05,light rain
217,Bilibino,RU,2022-08-25 00:18:17,68.0546,166.4372,60.17,56,100,3.96,overcast clouds
218,Uyemskiy,RU,2022-08-25 00:15:12,64.4743,40.8524,55.45,100,40,8.95,thunderstorm
219,Mae Sai,TH,2022-08-25 00:18:18,20.4335,99.8762,74.14,96,99,1.9,overcast clouds
220,Kiunga,PG,2022-08-25 00:18:19,-6.1219,141.2906,73.94,99,99,0.92,overcast clouds
221,Ponta Do Sol,PT,2022-08-25 00:16:18,32.6667,-17.1,72.23,70,9,4.65,clear sky
222,Nizhniy Tsasuchey,RU,2022-08-25 00:18:19,50.5167,115.1333,50.88,52,16,17.76,few clouds
223,Soe,ID,2022-08-25 00:18:20,-9.8607,124.284,68.83,67,91,10.16,overcast clouds
224,Harper,LR,2022-08-25 00:18:20,4.375,-7.7169,75.92,80,53,7.36,broken clouds
225,Vila Velha,BR,2022-08-25 00:18:21,-20.3297,-40.2925,71.55,91,20,6.91,few clouds
226,Broome,US,2022-08-25 00:13:39,42.2506,-75.833,73.78,64,0,4.61,clear sky
227,Puerto Leguizamo,CO,2022-08-25 00:18:22,-0.1934,-74.7819,73.99,81,95,1.86,overcast clouds
228,Labuan,MY,2022-08-25 00:18:22,5.2767,115.2417,79.16,94,20,1.14,few clouds
229,Bud,US,2022-08-25 00:18:23,39.447,-86.1758,80.91,70,1,5.66,clear sky
